,孙少平,金波,田福堂,侯玉英,田晓霞,孙玉厚,金俊海,金秀,王满银,孙少安,孙玉亭,金俊武,金光亮,金先生,金俊山,徐治功,杨高虎,徐国强,田福军,冯世宽,憨牛,金富,金强,金俊斌,刘根民,田润叶,徐爱云,李登云,白明川,田润生,贾冰,田五,田海民,王彩娥,贺秀莲,贺耀宗,张有智,周文龙,刘志祥,黑白,马国雄,胡得禄,武惠良,孙兰香,胡得福,苗凯,金光辉,刘玉升,石钟,乔伯年,张生民,杜正贤,高凤阁,白元,武宏全,武得全,曹书记,萝卜花,顾尔纯,杜丽丽,胡永合,南洋女人,胡永州,藏族姑娘,小翠,雷区长,王世才,安锁子,田四,惠英,高步杰,卫红,马来花,古风铃,田晓晨
1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13.0,12.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,10.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,7.0,1.0,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1.0,,,,7.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,5.0,2.0,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,10.0,,,6.0,,,1.0,1.0,20.0,,,2.0,29.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,4.0,,,,,,2.0,,13.0,,,,1.0,12.0,8.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1.0,2.0,,,,,,,7.0,,12.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,4.0,,,,2.0,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,17.0,18.0,2.0,,,,,,,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1.0,,,,,,,,2.0,,,,,,1.0,,,12.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,33.0,,,4.0,,,9.0,3.0,7.0,5.0,,,1.0,27.0,1.0,,1.0,1.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,38.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,6.0,,,1.0,1.0,2.0,,5.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,41.0,,,4.0,,,,5.0,4.0,,,,2.0,,,8.0,,,,,,,,,3.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,26.0,,,3.0,,,,12.0,6.0,2.0,,,3.0,5.0,,,,1.0,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,14.0,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.0,8.0,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,1.0,22.0,,,,,,,1.0,6.0,5.0,,,4.0,1.0,,,,,,,,,,,,,1.0,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,14.0,,,,,,,1.0,15.0,29.0,,3.0,3.0,,,,,,,6.0,7.0,3.0,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,1.0,30.0,,,1.0,1.0,,,,17.0,21.0,,1.0,23.0,8.0,,,,,,4.0,4.0,11.0,3.0,,,,9.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2.0,7.0,,,2.0,,1.0,,9.0,1.0,8.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,8.0,1.0,,,29.0,16.0,2.0,,,1.0,1.0,,,15.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,3.0,1.0,,,1.0,,,,5.0,6.0,2.0,,,1.0,,,,,,,1.0,6.0,,2.0,,,,,,,5.0,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,27.0,1.0,,,,,,,,,1.0,,,,,,,,20.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,1.0,,,23.0,20.0,,,,,,,,9.0,10.0,,,,,,,,17.0,14.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,6.0,3.0,,,9.0,,3.0,7.0,9.0,3.0,1.0,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,3.0,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16.0,,,14.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,11.0,,,,2.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,3.0,,1.0,,,,,1.0,,,,,,,,20.0,3.0,4.0,,,,,,1.0,4.0,11.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,1.0,15.0,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,1.0,3.0,4.0,9.0,3.0,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10.0,3.0,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,,25.0,,,4.0,,,,,17.0,8.0,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,1.0,31.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,10.0,32.0,,,,,,,,4.0,,,,,,,,,2.0,,,,9.0,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,44.0,,,,,,,,19.0,23.0,6.0,,12.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,12.0,,,,,,,,14.0,33.0,3.0,,1.0,,,,,,,13.0,6.0,,,,,,,,,1.0,17.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,26.0,,,3.0,,,,,12.0,15.0,,,6.0,10.0,3.0,,,,1.0,4.0,2.0,1.0,,,,,1.0,,,,5.0,10.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,16.0,,,,,,,3.0,6.0,8.0,1.0,7.0,7.0,,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,13.0,17.0,3.0,4.0,5.0,3.0,1.0,,,1.0,4.0,,8.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,11.0,,,4.0,,,,14.0,9.0,,,,,2.0,,,5.0,5.0,,,,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,2.0,1.0,,,,,1.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,,1.0,12.0,4.0,,2.0,1.0,,1.0,1.0,,3.0,1.0,,,6.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,1.0,43.0,7.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,3.0,,,2.0,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,7.0,1.0,3.0,,11.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
58,,,28.0,,,,,,,6.0,4.0,2.0,1.0,,2.0,5.0,3.0,,1.0,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,1.0,9.0,,,,,,4.0,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,6.0,1.0,,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,1.0,,14.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,6.0,,,,,,,1.0,4.0,13.0,21.0,,2.0,1.0,,,,,,37.0,5.0,1.0,,,,,,,,,,3.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.0,,7.0,,,3.0,,,,8.0,,3.0,,,5.0,2.0,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
64,8.0,2.0,,,2.0,2.0,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,1.0,,,3.0,,,2.0,10.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,2.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,7.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
70,2.0,26.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
71,,,,,,12.0,1.0,,,9.0,1.0,,1.0,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5.0,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
73,3.0,2.0,,9.0,,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
74,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
76,17.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,1.0,41.0,3.0,,,,,,,,6.0,1.0,,,,,,,,18.0,2.0,,1.0,1.0,,,,,3.0,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,
